School_Cod,LATITUDE,LONGITUDE,School,GradeLevel,QS,QA,Bdate,Edate,Indicator,siz,Col,QT
6774,40.429775,-104.701637,Billie Martinez Elementary,1st  Grade Cohort,23,4,10/29/2020,11/11/2020,Quarantined,1,Quarantined,27
988,40.396191,-104.720695,Brentwood Middle School,8th Grade Cohort,61,1,10/29/2020,11/12/2020,Quarantined,1,Quarantined,62
3614,40.39954,-104.735039,Greeley West High School,Mixed Cohort,87,7,10/29/2020,11/7/2020,Quarantined,1,Quarantined,94
4425,40.417755,-104.683754,Jefferson Junior/Senior High,Mixed Students,1,16,10/29/2020,11/12/2020,Closed,1,Quarantined,17
5620,40.419445,-104.711403,Maplewood Elementary School,Mixed Cohort,9,1,10/29/2020,11/12/2020,Quarantined,1,Quarantined,10
5752,40.402077,-104.727592,Meeker Elementary School,3rd Grade Cohort,23,4,10/29/2020,11/12/2020,Quarantined,1,Quarantined,27
8467,40.395818,-104.676661,Salida del Sol Academy,6th and 8th Grade Cohort,50,9,10/29/2020,11/12/2020,Quarantined,1,Clear,59
4356,40.39595,-104.711136,Jackson Elementary,3rd Grade Cohort,18,2,10/30/2020,11/11/2020,Quarantined,1,Quarantined,20
8965,40.406124,-104.768265,Union Colony Schools,8thGrade Cohort,23,7,10/30/2020,11/11/2020,Quarantined,1,Quarantined,30
0,40.422161,-104.692711,Greeley 6 Administration Building,Transportation,0,7,10/31/2020,11/14/2020,Quarantined,1,Quarantined,7
5752,40.402077,-104.727592,Meeker Elementary School,1st  Grade Cohort,17,0,10/31/2020,11/14/2020,Quarantined,1,Quarantined,17
1875,40.39109,-104.721832,Frontier Elementary,Mixed Cohort,25,1,11/1/2020,11/16/2020,Quarantined,1,Quarantined,26
3614,40.39954,-104.735039,Greeley West High School,AA and C Team Football Cohorts,60,8,11/1/2020,11/16/2020,Quarantined,1,Quarantined,68
1500,40.38118,-104.710983,Chappelow K-8 Magnet School,4th Grade Cohort,19,4,11/2/2020,11/16/2020,Quarantined,1,Quarantined,23
52,40.381325,-104.748703,Heiman Elementary School,Kindergarten and 1st Grade Cohorts,44,4,11/2/2020,11/13/2020,Quarantined,1,Quarantined,48
7700,40.418301,-104.728958,Scott Elementary School,5th Grade Cohort,22,2,11/2/2020,11/16/2020,Quarantined,1,Quarantined,24
1875,40.39109,-104.721832,Frontier Elementary,,0,1,11/3/2020,11/18/2020,Quarantined,1,Quarantined,1
3880,40.413918,-104.715622,Heath Middle School,8th Grade Cohort,22,6,11/3/2020,11/18/2020,Quarantined,1,Quarantined,28
6364,40.437233,-104.792343,Northridge High School,9th Grade Cohort BB,29,6,11/3/2020,11/16/2020,Quarantined,1,Quarantined,35
9611,40.424239,-104.790297,West Ridge Academy,Remote Learning,0,0,11/3/2020,11/16/2020,Closed,1,Closed,0
3162,40.424347,-104.735077,Franklin Middle School,8th Grade Cohort,18,4,11/4/2020,11/16/2020,Quarantined,1,Quarantined,22
3162,40.424347,-104.735077,Franklin Middle School,7th Grade Cohort,21,3,11/4/2020,11/16/2020,Quarantined,1,Quarantined,24
3610,40.415386,-104.701805,Greeley Central High School,Football,68,6,11/4/2020,11/16/2020,Quarantined,1,Quarantined,74
3610,40.415386,-104.701805,Greeley Central High School,Mixed Cohort,33,4,11/4/2020,11/18/2020,Quarantined,1,Quarantined,37
3610,40.415386,-104.701805,Greeley Central High School,Mixed Cohort,26,3,11/4/2020,11/17/2020,Quarantined,1,Quarantined,20
3610,40.415386,-104.701805,Greeley Central High School,Mixed Cohort,28,2,11/4/2020,11/13/2020,Quarantined,1,Quarantined,20
52,40.381325,-104.748703,Heiman Elementary School,5th Grade Cohorts,22,3,11/4/2020,11/13/2020,Quarantined,1,Quarantined,25
3610,40.415386,-104.701805,Greeley Central High School,Remote Learning,0,0,11/5/2020,11/30/2020,Closed,1,Quarantined,0
4356,40.39595,-104.711136,Jackson Elementary,Kindergarden Cohot,21,2,11/5/2020,11/19/2020,Quarantined,1,Quarantined,23
5620,40.419445,-104.711403,Maplewood Elementary School,4th Grade Cohort,27,3,11/5/2020,11/19/2020,Quarantined,1,Quarantined,30
5660,40.427559,-104.766296,McAuliffe STEM Academy,2nd Grade Cohort,18,1,11/5/2020,11/17/2020,Quarantined,1,Quarantined,19
5660,40.427559,-104.766296,McAuliffe STEM Academy,Kindergarden Cohort,20,0,11/5/2020,11/18/2020,Quarantined,1,Quarantined,20
1500,40.38118,-104.710983,Chappelow K-8 Magnet School,Mixed Cohort,4,3,11/5/2020,11/17/2020,Quarantined,1,Quarantined,7
3614,40.39954,-104.735039,Greeley West High School,Mixed Cohort,20,2,11/5/2020,11/18/2020,Quarantined,1,Quarantined,22
