School,GradeLevel,QS,QA,Bdate,Edate,add by day,sub by day,dailyQ,,
University Schools,7th Grade Cohort,18,2,11/9/2020,11/20/2020,20,20,1946,,
University Schools,9th Grade Cohort,34,5,11/9/2020,11/20/2020,39,39,1985,,
Heiman Elementary School,Mixed Cohort,7,4,11/9/2020,11/30/2020,11,11,1996,,
Scott Elementary School,4th Grade Cohort,21,2,11/10/2020,11/30/2020,23,23,2019,,
Union Colony Schools,7th Grade ,70,5,11/10/2020,11/30/2020,75,75,2094,,
Chappelow K-8 Magnet School,3rd and 4th Grade Cohort,36,0,11/10/2020,11/16/2020,36,36,2130,,
Chappelow K-8 Magnet School,7th Grade Cohort,19,4,11/10/2020,11/30/2020,23,23,2153,,
Chappelow K-8 Magnet School,8th Grade Cohort,25,4,11/10/2020,11/30/2020,29,29,2182,,
Jackson Elementary,Kindergarden 2nd 3rd Grade Cohorts,54,3,11/10/2020,11/30/2020,57,57,2239,,
Salida del Sol Academy,1st Grade Cohort,20,4,11/10/2020,12/1/2020,24,24,2263,,
